corr,p_value,significant,correlation of,repo,Methods considered
0.04,0.06728464084,no,versionedSLOC_with_bugs,gson,modified at least once
0.09,5.03E-54,yes,versionedSLOC_with_bugs,hibernate-search,modified at least once
0.08,1.70E-35,yes,versionedSLOC_with_bugs,javaparser,modified at least once
0.03,0.00330332825,yes,versionedSLOC_with_bugs,jgit,modified at least once
0.1,1.03E-11,yes,versionedSLOC_with_bugs,jna,modified at least once
0.1,8.03E-11,yes,versionedSLOC_with_bugs,junit4,modified at least once
0.07,5.41E-14,yes,versionedSLOC_with_bugs,junit5,modified at least once
0.04,0.002321798954,yes,versionedSLOC_with_bugs,mockito,modified at least once
0.11,4.75E-25,yes,versionedSLOC_with_bugs,okhttp,modified at least once
0.11,2.52E-70,yes,versionedSLOC_with_bugs,pmd,modified at least once
0.04,2.21E-13,yes,versionedSLOC_with_bugs,spring-boot,modified at least once
0.04,0.003935807171,yes,versionedSLOC_with_bugs,titan,modified at least once
0,0.8453559085,no,versionedSLOC_with_bugs,wicket,modified at least once
0.04,0.0003708539067,yes,versionedSLOC_with_revisions,antlr4,modified at least once
0.02,0.002272386591,yes,versionedSLOC_with_revisions,assertj-core,modified at least once
-0.13,3.18E-28,yes,versionedSLOC_with_revisions,astyanax,modified at least once
0.04,0.001660802317,yes,versionedSLOC_with_revisions,atmosphere,modified at least once
0.03,9.07E-10,yes,versionedSLOC_with_revisions,drill,modified at least once
0.02,0.001189692679,yes,versionedSLOC_with_revisions,DSpace,modified at least once
0.15,6.81E-38,yes,versionedSLOC_with_revisions,Essentials,modified at least once
0.07,2.82E-54,yes,versionedSLOC_with_revisions,flink,modified at least once
0,0.9730048965,no,versionedSLOC_with_revisions,flyway,modified at least once
-0.03,2.62E-09,yes,versionedSLOC_with_revisions,guava,modified at least once
0.09,0.000119379895,yes,versionedSLOC_with_revisions,hawtio,modified at least once
0.1,2.27E-09,yes,versionedSLOC_with_revisions,hector,modified at least once
0.05,1.43E-43,yes,versionedSLOC_with_revisions,hibernate-orm,modified at least once
0.07,1.75E-07,yes,versionedSLOC_with_revisions,Hystrix,modified at least once
0.09,6.03E-57,yes,versionedSLOC_with_revisions,jetty.project,modified at least once
0.09,1.40E-39,yes,versionedSLOC_with_revisions,logging-log4j2,modified at least once
0,0.7356570302,no,versionedSLOC_with_revisions,lombok,modified at least once
-0.04,2.32E-11,yes,versionedSLOC_with_revisions,mongo-java-driver,modified at least once
0.1,1.57E-13,yes,versionedSLOC_with_revisions,mybatis-3,modified at least once
0.06,1.04E-27,yes,versionedSLOC_with_revisions,netty,modified at least once
0.01,0.209322657,no,versionedSLOC_with_revisions,openmrs-core,modified at least once
0.02,0.2080410994,no,versionedSLOC_with_revisions,rabbitmq-java-client,modified at least once
0.03,4.78E-05,yes,versionedSLOC_with_revisions,RxJava,modified at least once
0.09,2.32E-133,yes,versionedSLOC_with_revisions,sonarqube,modified at least once
0.11,2.09E-55,yes,versionedSLOC_with_revisions,soot,modified at least once
0.05,0.1670061293,no,versionedSLOC_with_revisions,spark,modified at least once
0.01,3.00E-05,yes,versionedSLOC_with_revisions,spring-framework,modified at least once
-0.15,1.60E-30,yes,versionedSLOC_with_revisions,swagger-core,modified at least once
-0.1,5.20E-14,yes,versionedSLOC_with_revisions,truth,modified at least once
-0.03,0.01683852192,yes,versionedSLOC_with_revisions,Twitter4J,modified at least once
-0.02,0.007963438321,yes,versionedSLOC_with_revisions,voldemort,modified at least once
0.17,5.20E-28,yes,versionedSLOC_with_revisions,vraptor4,modified at least once
0.05,1.12E-31,yes,versionedSLOC_with_revisions,wildfly,modified at least once
0.1,1.59E-37,yes,versionedSLOC_with_revisions,ant,modified at least once
0.11,3.41E-46,yes,versionedSLOC_with_revisions,checkstyle,modified at least once
0.02,0.2751215176,no,versionedSLOC_with_revisions,commons-io,modified at least once
0.01,0.1493320928,no,versionedSLOC_with_revisions,commons-lang,modified at least once
0.05,9.40E-06,yes,versionedSLOC_with_revisions,cucumber-jvm,modified at least once
0.08,1.08E-27,yes,versionedSLOC_with_revisions,docx4j,modified at least once
0.12,5.78E-17,yes,versionedSLOC_with_revisions,fastjson,modified at least once
0.03,0.158790865,no,versionedSLOC_with_revisions,gson,modified at least once
0.04,2.16E-13,yes,versionedSLOC_with_revisions,hibernate-search,modified at least once
-0.01,0.09668866834,no,versionedSLOC_with_revisions,javaparser,modified at least once
0.12,5.12E-33,yes,versionedSLOC_with_revisions,jgit,modified at least once
-0.09,1.85E-10,yes,versionedSLOC_with_revisions,jna,modified at least once
0.03,0.02167995263,yes,versionedSLOC_with_revisions,junit4,modified at least once
0,0.9936589096,no,versionedSLOC_with_revisions,junit5,modified at least once
-0.05,5.47E-05,yes,versionedSLOC_with_revisions,mockito,modified at least once
0.02,0.01384838815,yes,versionedSLOC_with_revisions,okhttp,modified at least once
0.02,0.002643898349,yes,versionedSLOC_with_revisions,pmd,modified at least once
0.02,1.58E-06,yes,versionedSLOC_with_revisions,spring-boot,modified at least once
0.05,0.000103666922,yes,versionedSLOC_with_revisions,titan,modified at least once
-0.05,1.17E-22,yes,versionedSLOC_with_revisions,wicket,modified at least once
